Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V28-127,,,,0.02,0.02,,,,,,0.02,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.04,0.04,,,,,,0.04,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.08,0.08,,,,,,0.08,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.12,0.12,,,,,,0.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.16,0.16,,,,,,0.16,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.2,0.2,,,,,,0.2,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.24,0.24,,,,,,0.24,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.28,0.28,,,,,,0.28,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.32,0.32,,,,,,0.32,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.36,0.36,,,,,,0.36,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.4,0.4,,,,,,0.4,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.44,0.44,,,,,,0.44,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.48,0.48,,,,,,0.48,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.51,0.51,,,,,,0.51,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.553,0.553,,,,,,0.553,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.605,0.605,,,,,,0.605,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.64,0.64,,,,,,0.64,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.685,0.685,,,,,,0.685,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.72,0.72,,,,,,0.72,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.765,0.765,,,,,,0.765,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.805,0.805,,,,,,0.805,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.88,0.88,,,,,,0.88,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.925,0.925,,,,,,0.925,depth model from Repschlaeger et al. 2021,
V28-127,,,,0.96,0.96,,,,,,0.96,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.005,1.005,,,,,,1.005,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.045,1.045,,,,,,1.045,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.08,1.08,,,,,,1.08,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.085,1.085,,,,,,1.085,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.12,1.12,,,,,,1.12,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.16,1.16,,,,,,1.16,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.2,1.2,,,,,,1.2,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.235,1.235,,,,,,1.235,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.28,1.28,,,,,,1.28,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.32,1.32,,,,,,1.32,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.36,1.36,,,,,,1.36,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.37,1.37,,,,,,1.37,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.41,1.41,,,,,,1.41,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.44,1.44,,,,,,1.44,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.48,1.48,,,,,,1.48,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.49,1.49,,,,,,1.49,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.52,1.52,,,,,,1.52,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.56,1.56,,,,,,1.56,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.6,1.6,,,,,,1.6,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.645,1.645,,,,,,1.645,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.68,1.68,,,,,,1.68,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.72,1.72,,,,,,1.72,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.76,1.76,,,,,,1.76,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.8,1.8,,,,,,1.8,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.84,1.84,,,,,,1.84,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.88,1.88,,,,,,1.88,depth model from Repschlaeger et al. 2021,
V28-127,,,,1.92,1.92,,,,,,1.92,depth model from Repschlaeger et al. 2021,
V28-127,,,,2.0,2.0,,,,,,2.0,depth model from Repschlaeger et al. 2021,
