Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
V28-14,,0.08,1110.308837890625,,,2291.657958984375,1105.657958984375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.09,1239.109375,,,2306.698974609375,1232.698974609375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.1,1367.909912109375,,,2330.739990234375,1361.739990234375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.11,1496.71142578125,,,2363.781005859375,1484.781005859375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.12,1625.5098876953125,,,2384.822021484375,1614.822021484375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.13,1754.310546875,,,2413.863037109375,1741.863037109375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.14,1883.1099853515625,,,2446.904052734375,1867.904052734375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.15,2011.910888671875,,,2485.281494140625,1997.281494140625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.16,2140.708251953125,,,2534.62255859375,2128.62255859375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.17,2269.508056640625,,,2589.96337890625,2265.96337890625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.18,2398.306640625,,,2684.342041015625,2398.342041015625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.19,2472.434814453125,,,2700.95751953125,2465.95751953125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.2,2542.355224609375,,,2762.20849609375,2535.20849609375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.21,2612.269775390625,,,2857.234619140625,2611.234619140625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
V28-14,,0.22,2682.188720703125,,,2975.670166015625,2679.670166015625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
