Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
V28-14,,,,0.5,0.5,,,,,,0.5,depth model from Repschlaeger et al. 2021,
V28-14,,,,0.7,0.7,,,,,,0.7,depth model from Repschlaeger et al. 2021,
V28-14,,,,0.9,0.9,,,,,,0.9,depth model from Repschlaeger et al. 2021,
V28-14,,,,0.9,0.9,,,,,,0.9,depth model from Repschlaeger et al. 2021,
V28-14,,,,0.9,0.9,,,,,,0.9,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.0,1.0,,,,,,1.0,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.1,1.1,,,,,,1.1,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.2,1.2,,,,,,1.2,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.3,1.3,,,,,,1.3,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.49,1.49,,,,,,1.49,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.5,1.5,,,,,,1.5,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.6,1.6,,,,,,1.6,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.6,1.6,,,,,,1.6,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.6,1.6,,,,,,1.6,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.7,1.7,,,,,,1.7,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.8,1.8,,,,,,1.8,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.8,1.8,,,,,,1.8,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.8,1.8,,,,,,1.8,depth model from Repschlaeger et al. 2021,
V28-14,,,,1.9,1.9,,,,,,1.9,depth model from Repschlaeger et al. 2021,
V28-14,,,,2.2,2.2,,,,,,2.2,depth model from Repschlaeger et al. 2021,
V28-14,,,,2.3,2.3,,,,,,2.3,depth model from Repschlaeger et al. 2021,
