Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
V29-202,,0.04,488.098449707,,,950.0400390625,-10.9599609375,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.05,664.8948974609,,,1184.083984375,132.083984375,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.06,841.6904907227,,,1522.1280517578,239.1280517578,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.07,1018.4849243164,,,1919.1721191406,312.1720581055,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.08,1195.2821044922,,,2334.2160644531,378.2160644531,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.09,1372.0771484375,,,2771.2600097656,422.2600708008,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.1,1548.8712158203,,,3211.3041992188,469.3040771484,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.11,1726.6389160156,,,3578.5363769531,546.5364379883,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.12,1907.4753417969,,,3716.0283203125,701.0283203125,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.13,2088.3244628906,,,3872.958984375,812.9589233398,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.14,2269.1721191406,,,4081.8896484375,902.8895263672,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.15,2450.0119628906,,,4327.8203125,975.8201293945,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.16,2630.85546875,,,4613.1147460938,1044.1146240234,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.17,2811.6984863281,,,4950.2114257813,1103.2114257813,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.18,2988.3254394531,,,5190.8671875,1225.8673095703,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.19,3160.3984375,,,5338.0073242188,1370.0072021484,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.2,3332.4543457031,,,5532.1469726563,1487.1470947266,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.21,3504.5241699219,,,5735.287109375,1592.2869873047,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.22,3676.5947265625,,,5932.4267578125,1697.4268798828,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.23,3848.6606445313,,,6167.5668945313,1781.5667724609,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.24,4020.7299804688,,,6437.70703125,1862.7067871094,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.25,4194.7358398438,,,6619.1064453125,2032.1063232422,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.26,4369.517578125,,,6762.3623046875,2210.3623046875,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.27,4544.2954101563,,,6936.0161132813,2369.0161132813,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.28,4719.0747070313,,,7145.669921875,2501.6701660156,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.29,4893.8530273438,,,7362.5498046875,2628.5500488281,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.3,5068.6323242188,,,7613.1791992188,2748.1791992188,3,Age model from Jonkers et al. (2020),,1
V29-202,,0.31,5243.4047851563,,,7842.8149414063,2855.8149414063,3,Age model from Jonkers et al. (2020),,1
