Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
V29-204,,0.05,,,,,,,,,,1000.0,740.0,740.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,1.55,,,,,,,,,,13000.0,900.0,900.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,2.01,,,,,,,,,,18000.0,1500.0,1500.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,2.65,,,,,,,,,,26000.0,2000.0,2000.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,5.32,,,,,,,,,,59500.0,2340.0,2340.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,5.47,,,,,,,,,,40500.0,2240.0,2240.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,6.72,,,,,,,,,,76500.0,2540.0,2540.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,8.15,,,,,,,,,,96500.0,3860.0,3860.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,8.45,,,,,,,,,,110500.0,-3000.0,9000.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,8.45,,,,,,,,,,104500.0,3000.0,3000.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,8.45,,,,,,,,,,112000.0,3580.0,3580.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
V29-204,,8.51,,,,,,,,,,62500.0,3340.0,3340.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,"Curry, W. B., et al. (1999) Geophysical Monograph-American Geophysical Union, 112, 59-76."
