Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
Vi-37GC,,0.01,3614.34912109375,,,3866.02001953125,3407.02001953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.02,3883.105224609375,,,4279.298828125,3537.299072265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.03,4151.8603515625,,,4834.9365234375,3620.936767578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.04,4420.6123046875,,,5439.8154296875,3706.815185546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.05,4689.3720703125,,,6047.203125,3763.203369140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.06,4958.12939453125,,,6649.591796875,3849.591796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.07,5296.39453125,,,6803.357421875,4134.357421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.08,5643.0009765625,,,7001.845703125,4328.845703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.09,5989.6142578125,,,7254.2841796875,4515.2841796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.1,6336.2275390625,,,7544.72265625,4648.72265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.11,6682.83056640625,,,7860.1611328125,4805.1611328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.12,6939.85791015625,,,7971.2119140625,5274.2119140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.13,7172.44482421875,,,8029.3583984375,5797.3583984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.14,7405.04248046875,,,8075.30712890625,6353.30712890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.15,7637.6279296875,,,8149.5546875,6902.5546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.16,7870.21142578125,,,8299.009765625,7386.009765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.17,8130.75341796875,,,8455.5927734375,7781.5927734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.18,8404.5419921875,,,8644.068359375,8164.06787109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.19,8678.3193359375,,,8944.5986328125,8400.5986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.2,8952.0966796875,,,9340.525390625,8536.525390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.21,9225.869140625,,,9783.451171875,8644.451171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.22,9440.1748046875,,,10013.111328125,8904.111328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.23,9609.880859375,,,10062.79296875,9243.79296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.24,9779.5810546875,,,10161.1953125,9498.1953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.25,9949.2783203125,,,10332.51953125,9628.51953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.26,10118.9814453125,,,10627.1865234375,9685.1865234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.27,10243.4541015625,,,10809.45703125,9752.45703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.28,10315.71875,,,10839.5400390625,9846.5400390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
Vi-37GC,,0.29,10388.0078125,,,10881.9951171875,9905.9951171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
