Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
Vi-37GC,,0.01,0.32,3.0,0.32,3.0,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.04,0.32,3.03,0.32,3.03,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.06,0.32,3.02,0.32,3.02,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.1,0.22,3.17,0.22,3.17,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.12,0.14,3.19,0.14,3.19,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.14,0.22,3.17,0.22,3.17,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.16,0.25,3.23,0.25,3.23,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.18,0.05,3.31,0.05,3.31,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.2,0.04,3.39,0.04,3.39,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.22,0.03,3.43,0.03,3.43,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.24,-0.02,3.57,-0.02,3.57,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.28,0.03,3.29,0.03,3.29,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.3,0.08,3.33,0.08,3.33,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.32,-0.21,3.23,-0.21,3.23,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.34,-0.09,3.48,-0.09,3.48,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.36,0.04,3.93,0.04,3.93,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.38,-0.2,3.75,-0.2,3.75,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.4,-0.26,3.9,-0.26,3.9,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.42,-0.41,4.06,-0.41,4.06,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.44,-0.18,4.12,-0.18,4.12,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.54,-0.06,3.99,-0.06,3.99,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.56,-0.28,3.99,-0.28,3.99,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.58,-0.25,4.18,-0.25,4.18,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.62,-0.25,4.31,-0.25,4.31,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.66,-0.24,4.06,-0.24,4.06,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.7,-0.52,4.1,-0.52,4.1,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
Vi-37GC,,0.72,-0.45,4.1,-0.45,4.1,,,,Cibicidoides spp.,7,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D.: Glacial-age hydrography of the far northwest Pacific Ocean, Paleoceanography, 13, 323-339, doi:10.1029/98PA00874, 1998.",,"PANGAEA, https://doi.org/10.1594/PANGAEA.857984",1
