Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
WIND-28K,,,,0,0,,,,,,0,,
WIND-28K,,,,0.04,0.04,,,,,,0.04,,
WIND-28K,,,,0.08,0.08,,,,,,0.08,,
WIND-28K,,,,0.12,0.12,,,,,,0.12,,
WIND-28K,,,,0.16,0.16,,,,,,0.16,,
WIND-28K,,,,0.2,0.2,,,,,,0.2,,
WIND-28K,,,,0.24,0.24,,,,,,0.24,,
WIND-28K,,,,0.28,0.28,,,,,,0.28,,
WIND-28K,,,,0.32,0.32,,,,,,0.32,,
WIND-28K,,,,0.36,0.36,,,,,,0.36,,
WIND-28K,,,,0.4,0.4,,,,,,0.4,,
WIND-28K,,,,0.44,0.44,,,,,,0.44,,
WIND-28K,,,,0.48,0.48,,,,,,0.48,,
WIND-28K,,,,0.5,0.5,,,,,,0.5,,
WIND-28K,,,,0.52,0.52,,,,,,0.52,,
WIND-28K,,,,0.56,0.56,,,,,,0.56,,
WIND-28K,,,,0.58,0.58,,,,,,0.58,,
WIND-28K,,,,0.62,0.62,,,,,,0.62,,
WIND-28K,,,,0.64,0.64,,,,,,0.64,,
WIND-28K,,,,0.66,0.66,,,,,,0.66,,
WIND-28K,,,,0.7,0.7,,,,,,0.7,,
WIND-28K,,,,0.72,0.72,,,,,,0.72,,
WIND-28K,,,,0.76,0.76,,,,,,0.76,,
WIND-28K,,,,0.8,0.8,,,,,,0.8,,
WIND-28K,,,,0.84,0.84,,,,,,0.84,,
WIND-28K,,,,0.88,0.88,,,,,,0.88,,
WIND-28K,,,,0.92,0.92,,,,,,0.92,,
WIND-28K,,,,0.96,0.96,,,,,,0.96,,
WIND-28K,,,,0.98,0.98,,,,,,0.98,,
WIND-28K,,,,1,1,,,,,,1,,
WIND-28K,,,,1.04,1.04,,,,,,1.04,,
WIND-28K,,,,1.08,1.08,,,,,,1.08,,
WIND-28K,,,,1.12,1.12,,,,,,1.12,,
WIND-28K,,,,1.16,1.16,,,,,,1.16,,
WIND-28K,,,,1.2,1.2,,,,,,1.2,,
WIND-28K,,,,1.24,1.24,,,,,,1.24,,
WIND-28K,,,,1.28,1.28,,,,,,1.28,,
WIND-28K,,,,1.32,1.32,,,,,,1.32,,
WIND-28K,,,,1.36,1.36,,,,,,1.36,,
WIND-28K,,,,1.4,1.4,,,,,,1.4,,
WIND-28K,,,,1.44,1.44,,,,,,1.44,,
WIND-28K,,,,1.52,1.52,,,,,,1.52,,
WIND-28K,,,,1.56,1.56,,,,,,1.56,,
WIND-28K,,,,1.6,1.6,,,,,,1.6,,
WIND-28K,,,,1.64,1.64,,,,,,1.64,,
WIND-28K,,,,1.68,1.68,,,,,,1.68,,
WIND-28K,,,,1.72,1.72,,,,,,1.72,,
WIND-28K,,,,1.76,1.76,,,,,,1.76,,
WIND-28K,,,,1.8,1.8,,,,,,1.8,,
WIND-28K,,,,1.84,1.84,,,,,,1.84,,
WIND-28K,,,,1.88,1.88,,,,,,1.88,,
WIND-28K,,,,1.92,1.92,,,,,,1.92,,
WIND-28K,,,,1.96,1.96,,,,,,1.96,,
WIND-28K,,,,1.98,1.98,,,,,,1.98,,
WIND-28K,,,,2,2,,,,,,2,,
WIND-28K,,,,2.04,2.04,,,,,,2.04,,
WIND-28K,,,,2.08,2.08,,,,,,2.08,,
WIND-28K,,,,2.12,2.12,,,,,,2.12,,
WIND-28K,,,,2.16,2.16,,,,,,2.16,,
WIND-28K,,,,2.2,2.2,,,,,,2.2,,
WIND-28K,,,,2.24,2.24,,,,,,2.24,,
WIND-28K,,,,2.28,2.28,,,,,,2.28,,
WIND-28K,,,,2.3,2.3,,,,,,2.3,,
WIND-28K,,,,2.32,2.32,,,,,,2.32,,
WIND-28K,,,,2.36,2.36,,,,,,2.36,,
WIND-28K,,,,2.4,2.4,,,,,,2.4,,
WIND-28K,,,,2.44,2.44,,,,,,2.44,,
WIND-28K,,,,2.48,2.48,,,,,,2.48,,
WIND-28K,,,,2.52,2.52,,,,,,2.52,,
WIND-28K,,,,2.56,2.56,,,,,,2.56,,
WIND-28K,,,,2.6,2.6,,,,,,2.6,,
WIND-28K,,,,2.62,2.62,,,,,,2.62,,
WIND-28K,,,,2.64,2.64,,,,,,2.64,,
WIND-28K,,,,2.66,2.66,,,,,,2.66,,
