Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
Y69-106P,,,,0.0,0.0,,,,,,0.0,depth model associated with Uvigerina data,
Y69-106P,,,,0.05,0.05,,,,,,0.05,depth model associated with Uvigerina data,
Y69-106P,,,,0.1,0.1,,,,,,0.1,depth model associated with Uvigerina data,
Y69-106P,,,,0.15,0.15,,,,,,0.15,depth model associated with Uvigerina data,
Y69-106P,,,,0.2,0.2,,,,,,0.2,depth model associated with Uvigerina data,
Y69-106P,,,,0.25,0.25,,,,,,0.25,depth model associated with Uvigerina data,
Y69-106P,,,,0.3,0.3,,,,,,0.3,depth model associated with Uvigerina data,
Y69-106P,,,,0.4,0.4,,,,,,0.4,depth model associated with Uvigerina data,
Y69-106P,,,,0.45,0.45,,,,,,0.45,depth model associated with Uvigerina data,
Y69-106P,,,,0.5,0.5,,,,,,0.5,depth model associated with Uvigerina data,
Y69-106P,,,,0.55,0.55,,,,,,0.55,depth model associated with Uvigerina data,
Y69-106P,,,,0.6,0.6,,,,,,0.6,depth model associated with Uvigerina data,
Y69-106P,,,,0.65,0.65,,,,,,0.65,depth model associated with Uvigerina data,
