Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
Y69-106P,,0.0,0.09,2.71,0.09,2.71,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.05,-0.08,2.93,-0.08,2.93,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.1,-0.01,3.13,-0.01,3.13,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.15,-0.07,3.79,-0.07,3.79,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.2,-0.22,3.69,-0.22,3.69,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.25,-0.4,4.22,-0.4,4.22,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.3,-0.34,4.42,-0.34,4.42,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.4,-0.34,4.2,-0.34,4.2,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.45,-0.14,4.38,-0.14,4.38,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
Y69-106P,,0.5,-0.16,4.01,-0.16,4.01,,,,Cibicidoides spp.,7,,,,,Jonkers et al. 2020 compilation,"Lyle, M., Mix, A. and Pisias, N.: Patterns of CaCO3deposition in the eastern tropical Pacific Ocean for the last 150 kyr: Evidence for a southeast Pacific depositional spike during marine isotope stage (MIS) 2, Paleoceanography, 17(2), 3–1–3–13, doi:10.1029/2000pa000538, 2002.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/y69-106-tab.txt,1
