Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
Y69-71P,,0.02,351.71999999999997,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.04,703.45,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.07,1231.0299999999997,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.09,1582.76,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.1,1758.6200000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.1,1758.6200000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.13,2286.21,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.14,2462.07,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.15,2693.08,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.17,3265.38,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.17,3265.38,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.18,3551.54,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.21,4410.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.21,4410.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.23,4982.31,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.25,5554.62,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.25,5554.62,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.27,6126.92,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.27,6126.92,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.29,6546.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.29,6546.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.31,6914.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.31,6914.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.33,7282.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.33,7282.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.35000000000000003,7650.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.37,8017.999999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.37,8017.999999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.39,8386.000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.39,8386.000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.4,8570.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.43,9122.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.43,9122.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.45,9490.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.45,9490.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.47000000000000003,9857.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.49,10226.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.49,10226.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.5,10410.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.53,10699.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.55,10892.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.55,10892.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.5700000000000001,11085.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.5700000000000001,11085.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.59,11277.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.61,11470.710000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.63,11663.57,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.65,11856.43,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.65,11856.43,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.67,12049.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.67,12049.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.6900000000000001,12242.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.71,12435.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.71,12435.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.73,12627.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.73,12627.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.75,12820.710000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.75,12820.710000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.77,13013.57,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.8,13302.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.8300000000000001,13592.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.85,13785.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.85,13785.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.87,13977.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.87,13977.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.89,14170.71,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.89,14170.71,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.91,14363.570000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.91,14363.570000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.93,14556.429999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.9500000000000001,14749.29,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.9500000000000001,14749.29,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.97,14942.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.97,14942.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.99,15135.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,0.99,15135.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.0,15231.43,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.02,15424.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.02,15424.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.05,15713.570000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.05,15713.570000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.07,15906.429999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.09,16099.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.09,16099.289999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.11,16292.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.11,16292.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.1300000000000001,16485.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.1300000000000001,16485.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.1500000000000001,16677.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.17,16870.71,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.19,17063.570000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.19,17063.570000000003,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.2,17160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.21,17247.67,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.23,17423.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.24,17510.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.29,17949.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.35,18475.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.35,18475.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.3900000000000001,18825.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.3900000000000001,18825.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.4000000000000001,18913.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.43,19176.33,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.43,19176.33,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.45,19351.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.45,19351.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.47,19527.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.47,19527.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.49,19702.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.49,19702.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.5,19790.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.52,19965.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.52,19965.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.55,20228.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.55,20228.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.57,20403.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.57,20403.670000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.59,20579.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.59,20579.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Y69-71P,,1.61,20754.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
