Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
Y69-71P,,,,0.02,0.02,,,,,,0.02,depth model associated with Uvigerina data,
Y69-71P,,,,0.04,0.04,,,,,,0.04,depth model associated with Uvigerina data,
Y69-71P,,,,0.07,0.07,,,,,,0.07,depth model associated with Uvigerina data,
Y69-71P,,,,0.09,0.09,,,,,,0.09,depth model associated with Uvigerina data,
Y69-71P,,,,0.1,0.1,,,,,,0.1,depth model associated with Uvigerina data,
Y69-71P,,,,0.1,0.1,,,,,,0.1,depth model associated with Uvigerina data,
Y69-71P,,,,0.13,0.13,,,,,,0.13,depth model associated with Uvigerina data,
Y69-71P,,,,0.14,0.14,,,,,,0.14,depth model associated with Uvigerina data,
Y69-71P,,,,0.15,0.15,,,,,,0.15,depth model associated with Uvigerina data,
Y69-71P,,,,0.17,0.17,,,,,,0.17,depth model associated with Uvigerina data,
Y69-71P,,,,0.17,0.17,,,,,,0.17,depth model associated with Uvigerina data,
Y69-71P,,,,0.18,0.18,,,,,,0.18,depth model associated with Uvigerina data,
Y69-71P,,,,0.21,0.21,,,,,,0.21,depth model associated with Uvigerina data,
Y69-71P,,,,0.21,0.21,,,,,,0.21,depth model associated with Uvigerina data,
Y69-71P,,,,0.23,0.23,,,,,,0.23,depth model associated with Uvigerina data,
Y69-71P,,,,0.25,0.25,,,,,,0.25,depth model associated with Uvigerina data,
Y69-71P,,,,0.25,0.25,,,,,,0.25,depth model associated with Uvigerina data,
Y69-71P,,,,0.27,0.27,,,,,,0.27,depth model associated with Uvigerina data,
Y69-71P,,,,0.27,0.27,,,,,,0.27,depth model associated with Uvigerina data,
Y69-71P,,,,0.29,0.29,,,,,,0.29,depth model associated with Uvigerina data,
Y69-71P,,,,0.29,0.29,,,,,,0.29,depth model associated with Uvigerina data,
Y69-71P,,,,0.31,0.31,,,,,,0.31,depth model associated with Uvigerina data,
Y69-71P,,,,0.31,0.31,,,,,,0.31,depth model associated with Uvigerina data,
Y69-71P,,,,0.33,0.33,,,,,,0.33,depth model associated with Uvigerina data,
Y69-71P,,,,0.33,0.33,,,,,,0.33,depth model associated with Uvigerina data,
Y69-71P,,,,0.35000000000000003,0.35000000000000003,,,,,,0.35000000000000003,depth model associated with Uvigerina data,
Y69-71P,,,,0.37,0.37,,,,,,0.37,depth model associated with Uvigerina data,
