Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
Y69-71P,,0.04,-0.07,2.76,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.07,0,2.69,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.1,0.03,2.68,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.18,0.18,2.69,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.23,0.01,2.8,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.25,0.13,2.97,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.31,-0.09,3.1,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.4,-0.17,2.64,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.45,-0.01,2.87,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.5,-0.2,2.84,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.61,-0.33,3.38,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.67,-0.08,3.32,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.73,-0.1,3.35,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.77,-0.17,3.27,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.8,-0.28,3.53,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.83,-0.28,3.91,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.87,-0.24,3.68,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.87,-0.17,3.81,,,,,,Cibicidoides wuellerstorfi,1,,,,Clark et al. 2004,,,,,1
