Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
Y69-71P,,0.02,-0.73,3.28,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.04,-0.74,3,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.07,-0.54,3.24,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.09,-0.75,3.29,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.1,-0.8,3.03,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.1,-0.72,3.29,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.13,-0.6,3.21,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.14,-0.8,3.46,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.15,-0.73,3.31,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.17,-0.67,3.44,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.17,-0.67,3.26,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.18,-0.75,3.07,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.21,-0.61,3.33,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.21,-0.74,3.42,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.23,-0.76,3.28,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.25,-0.65,3.37,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.25,-0.73,3.37,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.27,-0.72,3.24,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.27,-0.69,3.36,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.29,-0.66,3.36,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.29,-0.9,3.47,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.31,-0.86,3.16,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.31,-0.82,3.43,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.33,-0.85,3.34,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.33,-0.93,3.53,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.35,-0.79,3.14,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.37,-0.9,3.17,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.37,-0.86,3.32,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.39,-0.82,3.68,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.39,-0.99,3.57,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.4,-0.87,3.14,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.43,-0.82,3.55,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.43,-0.92,3.72,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.45,-0.85,3.45,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.45,-0.87,3.57,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.47,-0.62,3.64,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.49,-0.8,3.41,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.49,-0.66,3.55,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.5,-0.96,3.46,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.53,-0.96,3.67,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.55,-1.04,3.78,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.55,-0.98,3.75,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.57,-0.87,3.53,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.57,-1.09,3.66,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.59,-0.81,3.98,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.61,-1,3.8,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.63,-0.96,4.08,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.65,-0.91,3.8,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.65,-1,3.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.67,-0.92,3.89,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.67,-1.07,3.8,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.69,-0.84,4,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.71,-0.87,3.69,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.71,-1.01,3.97,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.73,-0.85,4.01,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.73,-1.01,3.77,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.75,-0.93,4.01,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.75,-0.98,3.98,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.77,-0.93,4.22,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.8,-1.13,3.96,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.83,-1.07,4.48,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.85,-0.94,4.33,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.85,-0.95,4.28,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.87,-1.06,4.34,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.87,-1,4.34,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.89,-1.09,4.25,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.89,-0.86,4.21,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.91,-0.98,4.07,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.91,-1.04,4.29,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.93,-1.06,4.46,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.95,-1.05,4.42,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.95,-0.9,4.45,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.97,-0.96,4.37,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.97,-1.16,4.43,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.99,-0.99,4.4,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,0.99,-1.08,4.65,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1,-1.05,4.52,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.02,-1.06,4.62,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.02,-0.99,4.49,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.05,-0.88,4.29,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.05,-1.01,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.07,-1.2,4.49,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.09,-1.14,4.89,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.09,-1.26,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.11,-1.12,4.43,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.11,-0.98,4.87,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.13,-1.08,4.59,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.13,-1.04,4.33,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.15,-0.99,4.74,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.17,-0.94,4.72,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.19,-1,4.86,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.19,-1.15,4.39,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.2,-1.16,4.82,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.21,-1.17,4.83,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.23,-1.14,4.74,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.24,-1.23,4.75,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.29,-1.26,5.06,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.35,-1.16,4.46,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.35,-1.12,4.62,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.39,-1.14,4.7,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.39,-1.09,4.73,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.4,-1.3,4.9,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.43,-1.34,4.96,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.43,-1.16,4.91,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.45,-1.21,4.81,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.45,-1.1,4.9,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.47,-1.29,4.97,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.47,-1.25,5.17,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.49,-1.16,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.49,-1.23,4.94,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.5,-1.19,4.93,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.52,-1.11,4.87,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.52,-1.26,5.09,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.55,-1.14,4.79,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.55,-1.13,4.97,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.57,-1.25,4.78,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.57,-1.25,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.59,-1.27,4.86,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.59,-1.22,4.99,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.61,-1.2,4.99,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.63,-1.2,4.88,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.63,-1.15,4.96,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.65,-0.94,5.08,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.65,-1.24,4.96,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.67,-1.15,4.99,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.67,-1.01,5.38,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.69,-1.17,4.98,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.69,-1.04,4.99,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.71,-1.1,4.97,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.71,-1.01,5.03,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.73,-1.13,4.88,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.73,-1.07,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.75,-1.05,5.09,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.75,-0.98,5,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.77,-0.97,5.06,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.77,-1.12,5.21,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.79,-1.22,4.99,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.79,-1.05,5.02,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.8,-1.05,4.86,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.83,-1.05,4.94,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.83,-1.09,4.91,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.85,-1.32,4.67,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.85,-1.08,4.83,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.87,-1.13,4.85,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.87,-1.18,4.95,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.89,-1.09,4.85,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.89,-0.97,4.85,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.91,-1.15,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.91,-1.11,4.86,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.93,-1.08,4.84,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.93,-0.94,4.91,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.95,-1.23,4.77,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.95,-1.07,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.97,-1.17,4.82,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.97,-1.27,4.76,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.99,-1.07,4.91,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,1.99,-1.09,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2,-1.13,4.77,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.03,-1.14,4.77,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.05,-0.93,4.93,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.05,-1.07,4.91,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.07,-0.93,4.59,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.07,-1.08,4.79,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.09,-0.82,5.05,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.09,-1.03,4.84,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.11,-0.95,4.69,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.13,-1.07,4.62,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.13,-0.88,4.85,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.15,-1.03,4.81,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.17,-1.15,4.76,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.19,-1.06,4.92,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.2,-0.97,4.68,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.23,-1.02,4.68,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.25,-1.04,4.64,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.27,-0.9,4.82,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.27,-1.06,4.71,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.29,-1.04,4.71,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.31,-1.01,4.56,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.33,-1.1,4.63,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.35,-1.09,4.67,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.37,-1.11,4.68,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.4,-1.11,4.54,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.4,-1.07,4.66,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.41,-0.93,4.74,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.43,-1.05,4.59,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.45,-1.13,4.77,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.47,-1.05,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.49,-1.01,4.64,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.5,-1.07,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.53,-1.01,4.5,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.55,-1.1,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.57,-1.07,4.69,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.59,-0.79,4.98,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.59,-1,4.75,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.6,-1.07,4.51,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.63,-1.02,4.61,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.65,-1.12,4.63,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
Y69-71P,,2.65,-1.13,4.67,,,,,,Uvigerina,5,,,,Clark et al. 2004,,,,,1
