Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
Z2112,,0.035,5638.999999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.107,5958.599999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.159,6189.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.159,6189.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.21100000000000002,6420.200000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.222,6468.999999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.23199999999999998,6513.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.24300000000000002,6562.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.24300000000000002,6562.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.24300000000000002,6562.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.253,6606.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.264,6655.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.264,6655.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.27399999999999997,6699.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.28500000000000003,6748.599999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.295,6792.999999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.325,7921.599999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.335,8297.800000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.34500000000000003,8674.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.355,9050.2,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.365,9426.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.375,9802.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.385,10178.800000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.395,10555.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.405,11549.000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.41500000000000004,11679.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
Z2112,,0.41500000000000004,11679.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
