Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
Z2112,,,,0.035,0.035,,,,,,0.035,,
Z2112,,,,0.107,0.107,,,,,,0.107,,
Z2112,,,,0.159,0.159,,,,,,0.159,,
Z2112,,,,0.159,0.159,,,,,,0.159,,
Z2112,,,,0.159,0.159,,,,,,0.159,,
Z2112,,,,0.211,0.211,,,,,,0.211,,
Z2112,,,,0.222,0.222,,,,,,0.222,,
Z2112,,,,0.232,0.232,,,,,,0.232,,
Z2112,,,,0.243,0.243,,,,,,0.243,,
Z2112,,,,0.243,0.243,,,,,,0.243,,
Z2112,,,,0.243,0.243,,,,,,0.243,,
Z2112,,,,0.243,0.243,,,,,,0.243,,
Z2112,,,,0.253,0.253,,,,,,0.253,,
Z2112,,,,0.264,0.264,,,,,,0.264,,
Z2112,,,,0.264,0.264,,,,,,0.264,,
Z2112,,,,0.264,0.264,,,,,,0.264,,
Z2112,,,,0.274,0.274,,,,,,0.274,,
Z2112,,,,0.285,0.285,,,,,,0.285,,
Z2112,,,,0.295,0.295,,,,,,0.295,,
Z2112,,,,0.325,0.325,,,,,,0.325,,
Z2112,,,,0.335,0.335,,,,,,0.335,,
Z2112,,,,0.345,0.345,,,,,,0.345,,
Z2112,,,,0.355,0.355,,,,,,0.355,,
Z2112,,,,0.365,0.365,,,,,,0.365,,
Z2112,,,,0.375,0.375,,,,,,0.375,,
Z2112,,,,0.385,0.385,,,,,,0.385,,
Z2112,,,,0.395,0.395,,,,,,0.395,,
Z2112,,,,0.405,0.405,,,,,,0.405,,
Z2112,,,,0.415,0.415,,,,,,0.415,,
Z2112,,,,0.415,0.415,,,,,,0.415,,
Z2112,,,,0.415,0.415,,,,,,0.415,,
Z2112,,,,0.415,0.415,,,,,,0.415,,
Z2112,,,,0.425,0.425,,,,,,0.425,,
Z2112,,,,0.425,0.425,,,,,,0.425,,
Z2112,,,,0.425,0.425,,,,,,0.425,,
Z2112,,,,0.425,0.425,,,,,,0.425,,
Z2112,,,,0.435,0.435,,,,,,0.435,,
Z2112,,,,0.435,0.435,,,,,,0.435,,
Z2112,,,,0.435,0.435,,,,,,0.435,,
Z2112,,,,0.435,0.435,,,,,,0.435,,
Z2112,,,,0.445,0.445,,,,,,0.445,,
Z2112,,,,0.455,0.455,,,,,,0.455,,
Z2112,,,,0.47,0.47,,,,,,0.47,,
Z2112,,,,0.505,0.505,,,,,,0.505,,
Z2112,,,,0.515,0.515,,,,,,0.515,,
Z2112,,,,0.525,0.525,,,,,,0.525,,
Z2112,,,,0.535,0.535,,,,,,0.535,,
Z2112,,,,0.545,0.545,,,,,,0.545,,
Z2112,,,,0.555,0.555,,,,,,0.555,,
Z2112,,,,0.565,0.565,,,,,,0.565,,
Z2112,,,,0.575,0.575,,,,,,0.575,,
Z2112,,,,0.585,0.585,,,,,,0.585,,
Z2112,,,,0.595,0.595,,,,,,0.595,,
Z2112,,,,0.605,0.605,,,,,,0.605,,
Z2112,,,,0.615,0.615,,,,,,0.615,,
Z2112,,,,0.625,0.625,,,,,,0.625,,
Z2112,,,,0.635,0.635,,,,,,0.635,,
Z2112,,,,0.645,0.645,,,,,,0.645,,
Z2112,,,,0.656,0.656,,,,,,0.656,,
Z2112,,,,0.665,0.665,,,,,,0.665,,
Z2112,,,,0.675,0.675,,,,,,0.675,,
Z2112,,,,0.685,0.685,,,,,,0.685,,
Z2112,,,,0.725,0.725,,,,,,0.725,,
Z2112,,,,0.755,0.755,,,,,,0.755,,
Z2112,,,,0.828,0.828,,,,,,0.828,,
Z2112,,,,0.828,0.828,,,,,,0.828,,
Z2112,,,,0.828,0.828,,,,,,0.828,,
Z2112,,,,0.828,0.828,,,,,,0.828,,
Z2112,,,,0.885,0.885,,,,,,0.885,,
Z2112,,,,0.935,0.935,,,,,,0.935,,
Z2112,,,,0.985,0.985,,,,,,0.985,,
Z2112,,,,0.985,0.985,,,,,,0.985,,
Z2112,,,,0.985,0.985,,,,,,0.985,,
Z2112,,,,0.985,0.985,,,,,,0.985,,
Z2112,,,,1.035,1.035,,,,,,1.035,,
Z2112,,,,1.1,1.1,,,,,,1.1,,
Z2112,,,,1.138,1.138,,,,,,1.138,,
Z2112,,,,1.185,1.185,,,,,,1.185,,
Z2112,,,,1.235,1.235,,,,,,1.235,,
Z2112,,,,1.285,1.285,,,,,,1.285,,
Z2112,,,,1.335,1.335,,,,,,1.335,,
Z2112,,,,1.375,1.375,,,,,,1.375,,
